votes,answers,views,question,tags,user,user_reputation,time_asked
1304,42,1.7m,"I have the following DataFrame (df): import numpy as np import pandas as pd df = pd.DataFrame(np.random.rand(10, 5)) I add more column(s) by assignment: df['mean'] = df.mean(1) How can I move the ...",python pandas dataframe,Timmie,13.2k,"asked Oct 30, 2012 at 22:22"
1276,22,615k,"Is there a method like isiterable? The only solution I have found so far is to call hasattr(myObj, '__iter__') But I am not sure how fool-proof this is.",python iterable,willem,23.9k,"asked Dec 23, 2009 at 12:13"
1271,57,1.9m,Pretty much I need to write a program to check if a list has any duplicates and if it does it removes them and returns a new list with the items that weren't duplicated/removed. This is what I have ...,python algorithm list duplicates intersection,Neemaximo,17.9k,"asked Nov 1, 2011 at 0:45"
1270,4,2.1m,"There appear to be two different ways to convert a string to bytes, as seen in the answers to TypeError: 'str' does not support the buffer interface Which of these methods would be better or ...",python string character-encoding python-3.x,Mark Ransom,282k,"asked Sep 28, 2011 at 15:14"
1266,10,2.1m,"I have a long line of code that I want to break up among multiple lines. What do I use and what is the syntax? For example, adding a bunch of strings, e = 'a' + 'b' + 'c' + 'd' and have it in two ...",python syntax line-breaks long-lines,Ray,178k,"asked Sep 9, 2008 at 23:45"
1265,15,1.6m,"I've got a Python program where two variables are set to the value 'public'. In a conditional expression I have the comparison var1 is var2 which fails, but if I change it to var1 == var2 it returns ...",python string comparison identity equality,jottos,19.6k,"asked Oct 1, 2009 at 15:40"
1261,12,1.8m,I am aware of the die() command in PHP which exits a script early. How can I do this in Python?,python termination,Teifion,102k,"asked Sep 16, 2008 at 15:35"
1261,32,1.8m,"What would be a nice way to go from {2:3, 1:89, 4:5, 3:0} to {1:89, 2:3, 3:0, 4:5}? I checked some posts but they all use the ""sorted"" operator that returns tuples.",python sorting dictionary,Antony,13.2k,"asked Jan 25, 2012 at 10:54"
1258,29,1.1m,So what I'm looking for here is something like PHP's print_r function. This is so I can debug my scripts by seeing what's the state of the object in question.,python debugging introspection pretty-print python-datamodel,fuentesjr,47.8k,"asked Oct 10, 2008 at 16:19"
1254,26,954k,"What is the purpose of the self word in Python? I understand it refers to the specific object created from that class, but I can't see why it explicitly needs to be added to every function as a ...",python class oop self,richzilla,37.3k,"asked Apr 25, 2010 at 20:22"
1251,44,1.2m,"Is there a way to declare a constant in Python? In Java we can create constant values in this manner: public static final String CONST_NAME = ""Name""; What is the equivalent of the above Java ...",python constants,zfranciscus,15k,"asked Apr 21, 2010 at 12:20"
1247,14,392k,I've been here: http://www.python.org/dev/peps/pep-0328/ http://docs.python.org/2/tutorial/modules.html#packages Python packages: relative imports python relative import example code does not work ...,python import relative-path python-packaging relative-import,user1881400,"asked Jan 3, 2013 at 3:50","asked Jan 3, 2013 at 3:50"
1241,16,2.4m,"I'm used to doing print >>f, ""hi there"" However, it seems that print >> is getting deprecated. What is the recommended way to do the line above? Update: Regarding all those answers with ""...",python file-io,Yaroslav Bulatov,54.9k,"asked May 28, 2011 at 5:44"
1241,24,1.1m,"I want to import a function from another file in the same directory. Sometimes it works for me with from .mymodule import myfunction but sometimes I get a: SystemError: Parent module '' not loaded, ...",python python-3.x python-import,John Smith Optional,17.9k,"asked Jun 7, 2013 at 10:26"
1238,25,1.4m,How do I connect to a MySQL database using a python program?,python mysql,Marc Lincoln,"asked Dec 16, 2008 at 21:49","asked Dec 16, 2008 at 21:49"
1235,19,2.0m,"I want to get a list of the column headers from a Pandas DataFrame. The DataFrame will come from user input, so I won't know how many columns there will be or what they will be called. For example, ...",python pandas dataframe,natsuki_2002,21.7k,"asked Oct 20, 2013 at 21:18"
1231,36,1.8m,"How can I do the following in Python? array = [0, 10, 20, 40] for (i = array.length() - 1; i >= 0; i--) I need to have the elements of an array, but from the end to the beginning.",python list,Leo.peis,12.7k,"asked Oct 15, 2010 at 6:59"
1227,12,588k,"I've been given to understand that Python is an interpreted language... However, when I look at my Python source code I see .pyc files, which Windows identifies as ""Compiled Python Files"". Where ...",python compiled interpreted-language pyc,froadie,74.9k,"asked Jun 8, 2010 at 14:27"
1224,22,887k,I see this at the top of Python files: For Python 2 files #!/usr/bin/env python For Python 3 files #!/usr/bin/env python3 It seems to me like the files run the same without that line.,python shell shebang,john garcias,12.3k,"asked Mar 11, 2010 at 23:50"
1222,31,2.5m,I have the following indexed DataFrame with named columns and rows not- continuous numbers: a b c d 2 0.671399 0.101208 -0.181532 0.241273 3 0.446172 -0.243316 ...,python pandas dataframe chained-assignment,tomasz74,14.9k,"asked Sep 23, 2012 at 19:00"
1219,31,2.0m,"I understand that Pandas is designed to load a fully populated DataFrame, but I need to create an empty DataFrame then add rows, one by one. What is the best way to do this? I successfully created an ...",python pandas dataframe append,PhE,13.8k,"asked May 23, 2012 at 8:12"
1217,25,1.9m,"I use the following code segment to read a file in python: with open (""data.txt"", ""r"") as myfile: data=myfile.readlines() Input file is: LLKKKKKKKKMMMMMMMMNNNNNNNNNNNNN ...",python string,klijo,14.5k,"asked Dec 3, 2011 at 16:47"
1216,10,1.4m,"I looked into the Python os interface, but was unable to locate a method to move a file. How would I do the equivalent of $ mv ... in Python? >>> source_files = '/PATH/TO/FOLDER/*' >>&...",python file file-handling python-os,David542,98.7k,"asked Jan 13, 2012 at 22:17"
1215,12,2.6m,"I want to convert a table, represented as a list of lists, into a Pandas DataFrame. As an extremely simplified example: a = [['a', '1.2', '4.2'], ['b', '70', '0.03'], ['x', '5', '0']] df = pd....",python pandas dataframe types casting,user1642513,"asked Apr 8, 2013 at 23:53","asked Apr 8, 2013 at 23:53"
1213,21,900k,"Can someone please explain this to me? This doesn't make any sense to me. I copy a dictionary into another and edit the second and both are changed. Why is this happening? >>> dict1 = {""...",python python-3.x dictionary reference,MadSc13ntist,17.2k,"asked Mar 17, 2010 at 21:07"
1207,22,1.3m,How do I find the location of my site-packages directory?,python installation,Daryl Spitzer,131k,"asked Sep 23, 2008 at 17:04"
1204,9,1.9m,I want to get the current file's directory path. I tried: >>> os.path.abspath(__file__) 'C:\\python27\\test.py' But how can I retrieve the directory's path? For example: 'C:\\python27\\',python directory,Shubham,18.7k,"asked Aug 7, 2010 at 12:17"
1204,14,639k,"I would like to understand how the built-in function property works. What confuses me is that property can also be used as a decorator, but it only takes arguments when used as a built-in function and ...",python properties decorator python-decorators python-internals,ashim,22.4k,"asked Jun 26, 2013 at 20:47"
1202,44,1.0m,I need to get a line count of a large file (hundreds of thousands of lines) in python. What is the most efficient way both memory- and time-wise? At the moment I do: def file_len(fname): with ...,python text-files line-count,SilentGhost,283k,"asked May 10, 2009 at 10:22"
1202,5,1.5m,How do I get the ASCII value of a character as an int in Python?,python ascii,Matt,77.1k,"asked Oct 22, 2008 at 20:39"
1200,21,1.5m,"I want to write a function that will execute a shell command and return its output as a string, no matter, is it an error or success message. I just want to get the same result that I would have ...",python shell subprocess,Silver Light,40.7k,"asked Jan 21, 2011 at 14:55"
1198,29,201k,"I'm building a web application with Django. The reasons I chose Django were: I wanted to work with free/open-source tools. I like Python and feel it's a long-term language, whereas regarding Ruby I ...",python django web-applications scalability,Roee Adler,32.2k,"asked May 20, 2009 at 5:07"
1194,14,1.4m,I want to check if a variable exists. Now I'm doing something like this: try: myVar except NameError: # Do something. Are there other ways without exceptions?,python exception variables,Max Frai,56.5k,"asked May 9, 2009 at 13:10"
1193,16,409k,"In ""Programming Python"", Mark Lutz mentions ""mixins"". I'm from a C/C++/C# background and I have not heard the term before. What is a mixin? Reading between the lines of this example (which I've ...",python oop multiple-inheritance mixins,TarkaDaal,17.4k,"asked Feb 10, 2009 at 18:50"
1189,17,1.2m,Given: a = 1 b = 10 c = 100 How do I display a leading zero for all numbers with less than two digits? This is the output I'm expecting: 01 10 100,python integer string-formatting,ashchristopher,22.9k,"asked Sep 25, 2008 at 18:06"
1183,28,1.3m,"I have a dictionary: keys are strings, values are integers. Example: stats = {'a':1000, 'b':3000, 'c': 100} I'd like to get 'b' as an answer, since it's the key with a higher value. I did the ...",python dictionary max,ricafeal,12.2k,"asked Nov 6, 2008 at 10:49"
1179,14,1.3m,The canonical way to return multiple values in languages that support it is often tupling. Option: Using a tuple Consider this trivial example: def f(x): y0 = x + 1 y1 = x * 3 y2 = y0 ** y3 ...,python coding-style return return-value,saffsd,22.5k,"asked Dec 10, 2008 at 1:55"
1178,24,383k,"When we add a database field in django we generally write: models.CharField(max_length=100, null=True, blank=True) The same is done with ForeignKey, DecimalField etc. What is the basic difference in ...",python django django-models,user993563,16.6k,"asked Dec 22, 2011 at 20:11"
1174,12,1.1m,"I have a script that needs to do some stuff based on file creation and modification dates, but it has to run on Linux and Windows. What's the best cross-platform way to get file creation and ...",python file,Mark Biek,140k,"asked Oct 25, 2008 at 21:54"
1167,5,1.9m,"I'm just getting into Python and I really like the terseness of the syntax. However, is there an easier way of writing an if-then-else statement so it fits on one line? For example: if count == N: ...",python if-statement syntax ternary-operator,Abizern,137k,"asked May 10, 2010 at 12:58"
1165,15,1.2m,Is there a Python function that will trim whitespace (spaces and tabs) from a string? Example: \t example string\t → example string,python string whitespace trim strip,Chris,20.8k,"asked Jul 26, 2009 at 20:54"
1163,14,1.5m,I have this DataFrame and want only the records whose EPS column is not NaN: >>> df STK_ID EPS cash STK_ID RPT_Date 601166 20111231 601166 NaN NaN ...,python pandas dataframe nan,bigbug,47.1k,"asked Nov 16, 2012 at 9:17"
1156,52,922k,I am having trouble installing psycopg2. I get the following error when I try to pip install psycopg2: Error: pg_config executable not found. Please add the directory containing pg_config to the ...,python pip psycopg2,user1448207,11.7k,"asked Jul 23, 2012 at 19:09"
